1,1,50.84,57.57,127.9,61.580000000000005,1,1,1.0
1,2,0.0,9.5,18.5,34.93,1,1,1.0
1,3,308.49,0.0,406.42999999999995,119.21,1,1,1.0
1,4,90.6,0.0,228.32000000000002,66.16,1,1,1.0
2,1,34.42,54.08,123.8,62.55,1,1,1.0
2,2,0.0,15.5,10.6,27.700000000000003,1,1,1.0
2,3,307.95,0.0,406.96999999999997,119.21,1,1,1.0
2,4,90.6,0.0,228.32000000000002,66.16,1,1,1.0
3,1,18.0,50.59,119.71000000000001,63.53,1,1,1.0
3,2,0.0,15.5,4.8,27.700000000000003,1,1,1.0
3,3,307.41,0.0,407.50999999999993,119.21,1,1,1.0
3,4,90.6,0.0,228.32000000000002,66.16,1,1,1.0
4,1,2.5,47.1,112.8,64.5,1,1,1.0
4,3,306.87,0.0,408.04999999999995,119.21,1,1,1.0
4,4,90.6,0.0,228.32000000000002,66.16,1,1,1.0
5,1,0.6,47.1,96.7,63.6,1,1,1.0
5,3,306.33,0.0,408.59,119.21,1,1,1.0
5,4,90.6,0.0,228.32000000000002,66.16,1,1,1.0
6,1,0.6,45.2,78.7,55.099999999999994,1,1,1.0
6,3,305.78,0.0,409.14,119.21,1,1,1.0
6,4,90.6,0.0,228.32000000000002,66.16,1,1,1.0
7,1,0.6,44.3,60.8,53.2,1,1,1.0
7,3,305.24,0.0,409.67999999999995,119.21,1,1,1.0
7,4,90.6,0.0,228.32000000000002,66.16,1,1,1.0
8,1,0.6,44.3,45.67,48.13000000000001,1,1,1.0
8,3,304.7,0.0,410.21999999999997,119.21,1,1,1.0
8,4,90.6,0.0,228.32000000000002,66.16,1,1,1.0
9,1,0.6,44.3,30.529999999999998,43.07000000000001,1,1,1.0
9,3,304.7,0.0,409.96999999999997,119.18,1,1,1.0
9,4,90.6,0.0,228.32000000000002,66.16,1,1,1.0
10,5,914.84,188.49,44.52999999999997,67.26999999999998,1,1,1.0
10,1,0.6,44.3,15.4,38.0,1,1,1.0
10,3,304.7,0.0,409.72999999999996,119.16,1,1,1.0
10,4,90.6,0.0,228.32000000000002,66.16,1,1,1.0
11,5,870.65,178.95,88.65999999999997,88.75,1,1,1.0
11,3,304.7,0.0,409.49000000000007,119.13,1,1,1.0
11,4,90.6,0.0,228.32000000000002,66.16,1,1,1.0
12,5,822.7,169.41,136.55999999999995,96.07000000000002,1,1,1.0
12,3,304.7,0.0,409.24000000000007,119.11,1,1,1.0
12,4,90.6,0.0,228.32000000000002,66.16,1,1,1.0
13,5,776.0,159.87,183.21000000000004,103.38,1,1,1.0
